الاسم اللاتيني	رقم التسلسل	العلامة المسمارية
ge₁₅	001	𒀸
ge₁₆	067	𒄃
ge₁₇	446	𒈪𒉭
ge₁₈	440	𒁶
ge₁₉	596	𒉾
ge₂	313	𒆤
ge₂₀	319	𒂵
ge₂₁?	366	
ge₂₃	360	𒀹
ge₂₄	051	𒀵
ge₂₆	233	𒂷
ge₂₈	286	𒁨
ge₃	480	𒁹
ge₄	326	𒄄
ge₅	461	𒆠
ge₆	427	𒈪
ge₈	449	𒅆
ge₉	172	𒉈
gedar	295	
gedim	576	𒄇
gedru	295	
geg	446	
geg₂	427	
gegge	427	
gel	067	𒄃
gele₃	016	𒅲
geleg	067	
geli₃	016	𒅲
geltan	383	𒉿
gem	440	𒁶
gem₃	558	𒊩𒆳
geme₂	558	𒊩𒆳
geme₃	051	𒀵
gen	206	𒁺
gen₃	366	𒆳
gen₆	085	𒄀
gen₇	440	𒁶
gena	144n	𒌉𒁹
genan	144n	𒌉𒁹
genna	144n	𒌉𒁹
gepar	249	
ger	346	𒄫
ger₂	010	
ger₃	444	𒄊
gereš	400	𒄵
gereš₃	051	𒀵
gerin	483	
geš	296	𒄑
geš₃	211	𒍑
gešba	068	𒊒
gešbu	068	𒊒
gešdu	383	𒉿
gešgal	049x	
gešhur	354b	𒆒
gešimmar	356	𒊷
geškad	354b	𒆒
gešmaš	301	
gešnimbar	356	𒊷
gešninbar	356	
gešnu₃	431	
gešpa	068	𒊒
gešpu	068	𒊒
geššir	054v	𒂙
geštara	295	𒉺
geštin	210	𒃾
geština	210	𒃾
geštu	383	𒉿
gestug	383	
